,funding type,Categories,CB Rank (Company),Estimated Revenue Range,Operating Status,Number of Employees,Funding Status,Total Funding Amount Currency (in USD),fund_date
213,None,"Artificial Intelligence, Autonomous Vehicles, Drones, Enterprise Software, Hardware, Mobile, Recruiting, Robotics, SaaS, Software, Venture Capital, Virtual Reality","116,505",Less than $1M,Active,11-50,,,2009
214,Seed,"Artificial Intelligence, Machine Learning, Robotics, Security","116,515",Less than $1M,Active,1-10,Seed,,2012
215,None,"Artificial Intelligence, Information Technology, Machine Learning, Robotics, Software","116,381",,Active,11-50,,,2016
216,None,"Artificial Intelligence, Machine Learning, Robotics","115,855",,Active,1-10,,,2019
217,Seed,"Artificial Intelligence, Machine Learning, Robotics","113,305",,Active,1-10,Seed,,2016
218,None,"Artificial Intelligence, Autonomous Vehicles, Machine Learning, Robotics, Sporting Goods","115,024",Less than $1M,Active,1-10,,,2016
219,Non-equity Assistance,"Analytics, Biometrics, Health Care, Information Technology, Personal Health, Robotics","120,242",,Active,1-10,,,2017
220,None,"Machine Learning, Robotics, Software","116,039",Less than $1M,Active,1-10,,,2008
221,None,"Analytics, Industrial Automation, Machine Learning, Robotics, Software","119,308",,Closed,11-50,,,2011
222,None,"Association, Consulting, Information Technology, Non Profit","119,559",$1M to $10M,Active,11-50,,,2017
223,Grant,"Artificial Intelligence, Machine Learning, Robotics, Software","111,383",,Active,,,18601.0,2016
224,Seed,"3D Technology, Augmented Reality, Industrial Automation, Machine Learning, PC Games, Robotics, Software, Video Games, Virtual Reality","120,531",Less than $1M,Active,1-10,Seed,,2014
225,None,"Artificial Intelligence, Education, Location Based Services, Robotics, Software","121,439",$1M to $10M,Active,1-10,,,None
226,None,"Machine Learning, Mechanical Engineering, Professional Services, Robotics","95,098",,Active,,,,2017
227,Seed,"Computer Vision, Consumer Electronics, Navigation, Robotics","124,698",,Active,1-10,Seed,,2015
228,None,"Artificial Intelligence, Information Technology, Internet of Things, Machine Learning, Robotics","120,740",,Active,11-50,,,2017
229,None,"Automotive, Consumer Electronics, Information Technology, Logistics, Robotics, Virtual Reality","124,811",Less than $1M,Active,,,,2015
230,None,"Industrial Automation, Machine Learning, Robotics","125,710",$10M to $50M,Active,251-500,,,2001
231,None,"Hardware, Robotics, Software","124,484",$1M to $10M,Active,11-50,,,2006
232,None,"Artificial Intelligence, Computer, Information Technology, Robotics","123,593",,Active,1-10,,,2016
233,None,"Artificial Intelligence, Communications Infrastructure, Embedded Systems, Information Technology, Machine Learning, Optical Communication, Software","128,099",,Closed,1-10,,,2011
234,None,"Artificial Intelligence, Big Data, Information Technology, Machine Learning, Robotics, Software","127,777",,Active,1-10,,,2017
235,None,"Logistics, Packaging Services, Robotics","130,326",,Active,,,,None
236,None,"Agriculture, AgTech, Artificial Intelligence, Cannabis, Farming, Internet of Things, Robotics","128,506",,Active,1-10,,,2018
237,None,"Artificial Intelligence, Cloud Computing, Enterprise Software, Machine Learning","134,540",$1M to $10M,Active,11-50,,,2009
238,Seed,"Air Transportation, B2B, B2C, Delivery, Drone Management, Drones, Information Technology, Internet of Things, Robotics","132,654",,Active,1-10,Seed,,2015
240,None,"Consulting, Drones, E-Commerce, Education, Health Care, Information Technology, Machine Learning, Quality Assurance, Robotics, Software","130,431",,Active,51-100,,,2017
241,None,"Artificial Intelligence, Robotics","131,449",Less than $1M,Active,,,,2017
242,None,"Education, Machine Learning, Robotics","135,776",Less than $1M,Active,1-10,,,2015
243,None,Robotics,"133,998",,Active,1-10,,,2010
244,None,"Education, Machine Learning, Robotics","135,090",,Active,,,,None
245,None,"Artificial Intelligence, Big Data, Cloud Data Services, Machine Learning, Robotics","137,406",$1M to $10M,Active,11-50,,,2008
246,None,"Automotive, Autonomous Vehicles, Machine Learning","136,526",,Active,,,,None
247,None,"Consumer Electronics, Information Technology, Machine Learning, Robotics","137,887",,Active,,,,2017
248,Venture - Series Unknown,"Artificial Intelligence, Big Data, Machine Learning, Robotics, Software","140,154",$1M to $10M,Active,11-50,,1302515.0,2001
249,None,"Asset Management, Enterprise Software, Industrial, Industrial Automation, Machine Learning, Predictive Analytics, Risk Management, Robotics","141,126",$1M to $10M,Active,101-250,,,2016
250,None,"Artificial Intelligence, Autonomous Vehicles, CRM, Information Technology, Internet of Things, Machine Learning, Robotics","139,599",,Active,1-10,,,2018
251,None,"Artificial Intelligence, Big Data, Logistics, Machine Learning, Predictive Analytics, Robotics, Supply Chain Management","143,462",,Active,11-50,,,2015
252,None,"Advertising, Artificial Intelligence, Automotive, Computer Vision, Education, Electronics, Fitness, Gaming, Health Diagnostics, Home Health Care, Hospitality, Human Resources, Identity Management, Internet of Things, Machine Learning, Media and Entertainment, Medical, Personal Health, Physical Security, Public Safety, Retail Technology, Robotics, Smart Building, Smart Home, Sports, Transportation, Wellness","143,961",,Active,,,,2018
253,None,"Machine Learning, Robotics","145,234",,Active,1-10,,,2018
254,None,"Information Technology, Internet, iOS, Mobile Apps, Robotics, Software, Web Development","145,787",Less than $1M,Active,1-10,,,2011
255,None,"Artificial Intelligence, Big Data, Health Care, Machine Learning, Medical Device, Robotics, Software, Wearables","148,022",,Active,1-10,,,2015
256,None,Education,"145,110",$10M to $50M,Active,11-50,,,2014
257,None,Quantum Computing,"150,794",,Active,11-50,,,2018
258,None,"Artificial Intelligence, Augmented Reality, Human Computer Interaction, Machine Learning, Virtual Reality, Wearables","146,083",,Active,1-10,,,2014
259,Seed,"Analytics, Artificial Intelligence, Big Data, Consumer Electronics, Information Technology, Machine Learning, Software","150,140",,Active,1-10,Seed,,2018
260,None,"Artificial Intelligence, Assistive Technology, Electronics, Machine Learning, Robotics","146,326",,Active,1-10,,,2015
261,None,"Analytics, Biotechnology, CRM, Database, Human Resources, Information Technology, Machine Learning, Marketing, Robotics, Software","146,474",$10M to $50M,Active,11-50,,,2005
262,None,"Machine Learning, Medical, Robotics, Therapeutics","147,703",,Active,1-10,,,2016
